タルスキー,,,0,名詞,固有名詞,人名,一般,*,*,タルスキー,タルスキー,タルスキー,タルスキー,タルスキー,タルスキー,固,*,*,*
バナッハ,,,0,名詞,固有名詞,人名,一般,*,*,バナッハ,バナッハ,バナッハ,バナッハ,バナッハ,バナッハ,固,*,*,*
